Scan UUID,Business Name,Business URL,Scan Date,Status,Keyword,Pin Latitude,Pin Longitude,Rank,Found
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.702480738663503,-95.79496003924068,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.71183945755007,-95.81078060953405,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.726086691678532,-95.82167302635399,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.742565456603113,-95.82546490010043,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.759034380612984,-95.821861959984,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.774162355651068,-95.81022769242983,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.783194611051833,-95.794556757692,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.80856868539307,-95.77384264347837,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.806385461392956,-95.75554235794333,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.800150714536663,-95.73782821332468,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.789280653074655,-95.72131444967985,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.776171063737088,-95.70962748120638,99,No
30e9929b-9b6e-4641-834b-9be19ff6b7b0,"Imran Qureshi, DO",https://maps.google.com/?cid=11194524184802872596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYASAA,2026-04-20 18:22:46,completed,back doctor near me,29.759023435096857,-95.7014853407856,99,No
